finished	medkorrekt	hpo_id	hpo_label	definition	MANUAL PREFERED LABEL	MANUAL PREFERRED DEFINITION	OFFICIAL COMMENT	chemical_phenotype	correct_pattern	KM review	defined_class	defined_class_name	anatomical_entity	anatomical_entity_label	location	biological_process	biological_process_label	chemical_entity	chemical_entity_label	role	role_label	add_definitions	add_synonym	curator_comment	time
to do	ignore	HP:0033326	Elevated circulating hydroxyphenlyllactic acid concentration	An increased concentration of 4-hydroxyphenlyllactic acid in the blood circulation.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0033326				UBERON:0000178										
done	next	HP:0033332	Elevated circulating amyloid A concentration	The concentration of serum amyloid A in the blood circulation is above the upper limit of normal.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	Ok	HP:0033332				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_138152	serum amyloid A						2
to do	ignore	HP:0033339	Increased circulating inosine concentration	An increased concentration of inosine in the blood circulation.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0033339				UBERON:0000178										
to do	ignore	HP:0033340	Increased circulating guanosine concentration	Increased concentration of guanosine in the blood circulation.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0033340				UBERON:0000178										
to do	ignore	HP:0033341	Elevated circulating sitosterol concentration	An increased concentration of beta-sitosterol in the blood circulation.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0033341				UBERON:0000178										
to do	ignore	HP:0033356	Elevated circulating o-phosphoserine concentration	An abnormally increased level of o-phosphoserine in the blood circulation. o-phosphoserine is a derivative of serine.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0033356				UBERON:0000178										
to do	ignore	HP:0033381	Elevated circulating stearoylcarnitine concentration	Abnormally increased concentration of O-stearoylcarnitine in the blood circulation.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	Ok	HP:0033381				UBERON:0000178										
to do	ignore	HP:0033382	Elevated circulating palmitoylcarnitine concentration	Abnormally increased concentration of palmitoylcarnitine in the blood circulation.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	Ok	HP:0033382				UBERON:0000178										
to do	ignore	HP:0033386	Abnormal circulating collagen degradation product concentration	Abnormal concentration in the blood circulation of a metabolite that results from collagen degradation, e.g., a fragment of a collagen produced by a collagenase or serine protease.				Yes	abnormalLevelOfChemicalEntityInLocation	OK	HP:0033386				UBERON:0000178										
to do	ignore	HP:0033387	Elevated circulating pyridinoline concentration	An increased concentration of hydroxylysyl-pyridinoline (pyridinoline) in the blood circulation.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0033387				UBERON:0000178										
to do	ignore	HP:0033405	Abnormal circulating organic amino compound concentration	Any deviation from the normal concentration of an organic amino compound, defined as a compound formally derived from ammonia by replacing one, two or three hydrogen atoms by organyl groups.				Yes	abnormalLevelOfChemicalEntityInLocation	OK	HP:0033405				UBERON:0000178										
to do	ignore	HP:0033406	Elevated circulating o-phosphoethanolamine concentration	An increased concentration of o-phosphoethanolamine in the blood circulation.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0033406				UBERON:0000178										
to do	ignore	HP:0033408	Elevated circulating acetoacetic acid concentration	An increased level of acetoacetic acid in the blood circulation. Acetoacetic acid is one of the predominant ketone bodies.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0033408				UBERON:0000178										
done	next	HP:0033410	Elevated circulating cartilage oligomeric matrix protein concentration	An increased blood concentration of cartilage oligomeric matrix protein (COMP).				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood		HP:0033410				UBERON:0000178			http://purl.obolibrary.org/obo/PR_P49747	cartilage oligomeric matrix protein (human)					Selected human specific; species neutral term exists (http://purl.obolibrary.org/obo/PR_000000085).	2
to do	ignore	HP:0033417	Elevated circulating hydroxybutyric acid concentration	An increased concentration in the blood circulation of a hydroxybutyric acid, that is, of a compound comprising a butyric acid core carrying at least one hydroxy substituent.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0033417				UBERON:0000178										
to do	ignore	HP:0033418	Elevated circulating 2-hydroxybutyric acid concentration	Elevation of the 2-hydroxybutyric acid concentration in the blood above the normal range.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	Ok	HP:0033418				UBERON:0000178										
to do	ignore	HP:0033419	Elevated circulating 3-hydroxybutyric acid concentration	Elevation of the 3-hydroxybutyric acid concentration in the blood above the normal range.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	Ok	HP:0033419				UBERON:0000178										
